Product Name,Launch Year,Status,What it does?
Yandex Search,1997,Active,Search engine
Yandex.Mail,2001,Active,Email service
Yandex.Maps,2004,Active,Mapping and navigation
Yandex.Translate,2010,Active,Language translation service
Yandex.Disk,2012,Active,Cloud storage service
Yandex.Taxi,2011,Active,Ride-hailing and food delivery service
Yandex.Navigator,2012,Active,Navigation app
Yandex.Music,2010,Active,Music streaming service
Yandex.Images,2000,Active,Image search engine
Yandex.Video,2008,Active,Video hosting and streaming service
Yandex.News,2000,Active,News aggregator
Yandex.Translate,2010,Active,Language translation service
Yandex.Drive,2011,Active,Cloud storage and file synchronization
Yandex.Toloka,2015,Active,Crowdsourcing platform for tasks
Yandex.Direct,2001,Active,Online advertising platform
Yandex.Market,2000,Active,Online marketplace and price comparison platform
Yandex.Metro,2007,Active,Moscow Metro navigation app
Yandex.Weather,2010,Active,Weather information service
Yandex.Calendar,2011,Active,Online calendar service
Yandex.Translate,2010,Active,Language translation service
Yandex.Navigator,2012,Active,Navigation app
Yandex.Turbo,2009,Active,Web page acceleration service
Yandex.DNS,2011,Active,Domain Name System (DNS) service
Yandex.Money,2002,Active,Online payment and electronic money service
Yandex.Tank,2010,Active,Load testing tool for web applications
Yandex.Lavka,2020,Active,Online grocery delivery service
Yandex.Telemost,2020,Active,Video conferencing platform
Yandex.Disk (for Business),2012,Active,Cloud storage and collaboration for businesses
Yandex.Cloud,2018,Active,Cloud computing platform
Yandex.Station,2018,Active,Smart speaker with voice assistant (Alice)
Yandex.Taximeter,2011,Active,Mobile app for taxi drivers
Yandex.Maps (for Business),2008,Active,Mapping and navigation for businesses
Yandex Browser,2012,Active,Web browser with security features
Yandex.Metrica,2008,Active,Web analytics service
Yandex Launcher,2015,Active,Android launcher
Yandex.Zen,2015,Active,Content recommendation platform
Yandex.Eats,2017,Active,Food delivery service
Yandex.Fuel,2014,Active,Fuel price comparison app
Yandex.Mobilizatsiya,2015,Active,Fleet management and optimization
Yandex.Taxofon,2019,Active,Mobile app for business taxi
